,Unnamed: 0,Year,Australia,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,17065100,1990-12-31,124383.179358765,278424.660375653,424998.38093939,1424.6835199999998,15938.285071523998,4607.01291909928,220.55969434898398
1,1,1991,17284000,1991-12-31,124308.86910632199,279872.660257341,426015.21016654,1424.6835199999998,15558.9119038648,4610.743293932561,239.342085079776
2,2,1992,17495000,1992-12-31,123741.407630354,284912.437867139,430216.380428684,1333.184,15367.9562181118,4603.282544266,258.112168812888
3,3,1993,17667000,1993-12-31,120117.91528814699,289235.186168999,430612.555988275,1829.872,15837.185610210601,3315.5283760279804,276.868544891196
4,4,1994,17855000,1994-12-31,116834.94174087801,294014.960792545,430653.332474529,1027.34354927313,16316.0512897778,2164.42874878371,295.606353272172
5,5,1995,18072000,1995-12-31,115158.282184655,305410.16660495603,439004.900544292,1004.0321108286099,15585.369029186799,1530.8356649263199,316.214949739716
6,6,1996,18311000,1996-12-31,115355.759462231,312361.585574263,446681.84976225795,414.17063782292,16850.8412064025,1410.39505848126,289.097823057288
7,7,1997,18517000,1997-12-31,118199.040670688,320795.086167167,458841.602459653,705.228318135053,17647.3233467615,1228.1508980875,266.77305881308797
8,8,1998,18711000,1998-12-31,117153.71771458401,334684.517907243,472629.66943022294,998.289579795631,17892.4180134994,1660.51882000668,240.20739509453998
9,9,1999,18926000,1999-12-31,113023.535362148,344063.765859686,478199.840693722,1374.53997863768,18387.6517109739,1139.05875745416,211.289024822616
10,10,2000,19153000,2000-12-31,116699.185079476,350195.02382689697,489373.84197235794,1613.95320909026,19366.1912442857,1287.06178871158,212.42682389780398
11,11,2001,19413000,2001-12-31,115299.174625221,357669.182881018,496982.30975583795,2307.1080785630897,19686.1664810306,1801.8819741597897,218.79571584579602
12,12,2002,19651400,2002-12-31,113507.385983824,362209.546033934,500807.889046869,2925.8982907323402,20212.3402827668,1727.6231528209698,225.095302791336
13,13,2003,19895400,2003-12-31,108063.872818247,369726.01806604204,502301.77541877,3578.8968963726898,19019.8886337367,1683.98477494731,229.11422942425202
14,14,2004,20127400,2004-12-31,110200.454648155,383205.122284339,520315.182054526,4267.13653601783,20697.9552754028,1713.8487055083099,230.664605103036
15,15,2005,20394800,2005-12-31,111908.876432265,386513.45429618,526206.972835304,5002.7622515446,20793.9632230892,1791.7011197247198,196.21551249973203
16,16,2006,20697900,2006-12-31,111344.131103165,392680.646328911,530787.987970756,5166.70568017775,20723.3763380542,687.059841760489,186.06867868777198
17,17,2007,20827600,2007-12-31,111065.157016916,399842.460646105,536888.602052634,6066.185866270961,19156.9940555132,582.676819046088,175.12764878244
18,18,2008,21249200,2008-12-31,109353.592538331,404417.407486178,540669.000413683,6858.96362011689,19431.1955305648,444.516693559401,163.32454493337602
19,19,2009,21691700,2009-12-31,108388.535612072,407463.32796259294,544285.4619313821,8109.07325168487,19818.9801221028,358.551981149097,146.99300178048
20,20,2010,22031750,2010-12-31,106258.98564064,405502.798857304,540571.409833721,8672.211854124609,19711.3541924073,283.315234628066,142.744054617492
21,21,2011,22340024,2011-12-31,108278.92602009901,404172.757021574,542511.917896035,9139.821464655071,20478.3226617797,301.304839525102,140.785888401444
22,22,2012,22733465,2012-12-31,107907.07256058,406506.241774818,544732.756215615,9055.86893241829,20821.1942621386,294.882946981773,147.495738677856
23,23,2013,23128129,2013-12-31,107218.468669856,397943.178573917,535006.813813143,9859.71257255419,19651.620913716102,192.00123588443802,141.831847215468
24,24,2014,23475686,2014-12-31,105070.905979795,394116.89150550705,530411.017699534,10778.8523262396,20096.6636090506,192.535990598746,155.168288343672
25,25,2015,23815995,2015-12-31,105368.801285707,401554.757230168,538618.776181576,11795.3249584448,19557.6306196468,171.323657071029,170.938430537316
26,26,2016,24190907,2016-12-31,105873.930156543,411031.531117043,548862.546493278,11979.462021949399,19566.3917025888,224.92413389200001,186.307361261376
27,27,2017,24601860,2017-12-31,108170.69629232,415097.42766819,556612.265042082,11685.9360964034,21265.58500213,202.62553668,189.994446358368
28,28,2018,24982688,2018-12-31,109532.20991759,415953.946668257,558047.219509756,11982.082324171999,20114.4448477297,236.00270391,228.533048097228
29,29,2019,25364307,,,,,,,,
