,Unnamed: 0,Year,Russia,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,147969407,1990-12-31,60017.6005313286,169285.872691812,247994.300007144,0.18119293223939,15881.7433301115,2808.42730048,0.47496048
1,1,1991,148394216,1991-12-31,51333.4383585546,139370.253165321,204473.459437437,0.28668813826203005,11191.152043023401,2577.80866752,0.52051488
2,2,1992,148538197,1992-12-31,47197.382913283494,131072.276566846,191274.10718749,0.44593471938153995,11208.7794550405,1794.73668672,0.48563088
3,3,1993,148458777,1993-12-31,45511.6060749096,122832.30509118599,182090.01430682,0.75723491173243,11874.0412693327,1870.7835744000004,0.52106208
4,4,1994,148407912,1994-12-31,45139.8453475893,121961.461882256,180133.162537748,1.2740288077711899,11050.8170642143,1979.0273280000001,0.73688688
5,5,1995,148375787,1995-12-31,46097.9109896362,127032.855585614,187227.781103331,2.65700078422256,11739.3099076174,2354.0714239999998,0.97619568
6,6,1996,148160129,1996-12-31,45916.20530820401,130095.925323886,189592.38478130198,4.90975378524326,11225.927333286201,2347.8764991999997,1.54056294
7,7,1997,147915361,1997-12-31,49814.7754291516,121074.67434503,184139.928578628,10.6189805278188,10897.2584589082,2341.19265219,1.40871282
8,8,1998,147670784,1998-12-31,47293.7367752291,107561.544307475,166852.830221247,24.249179876393498,9685.80038832687,2285.98509516,1.51447518
9,9,1999,147214776,1999-12-31,45866.394002749505,90778.1784473023,147899.988542876,40.2576333043805,9130.74783256525,2082.705662178,1.70496477618
10,10,2000,146596869,2000-12-31,36329.487225284,95455.76054598721,143154.45640279,71.4845699186572,9614.323931928158,1674.7161962999999,8.68393337196
11,11,2001,145976482,2001-12-31,34866.5749004353,100357.071280565,146187.173112956,113.712251107691,9468.31985457564,1367.161948212,14.332878060648
12,12,2002,145306497,2002-12-31,37265.1458876826,101735.332431986,148897.932789535,169.40479364566002,8730.48885621863,985.463777646,12.097042356048
13,13,2003,144648618,2003-12-31,38508.6995442769,105295.172237085,153779.786128218,230.42838007693803,9430.40349033312,304.53930993522005,10.543166510412
14,14,2004,144067316,2004-12-31,37110.2320695627,104269.756728272,152551.96871031,296.099932974541,10707.9229497676,153.859737429482,14.097292303656001
15,15,2005,143518814,2005-12-31,37662.005598691096,102694.473334226,151387.139935468,371.174057172974,10548.539730753,95.2794377170412,15.66777690756
16,16,2006,143049637,2006-12-31,37055.4719860122,105082.79303183198,152110.736923025,486.44984845608496,9397.83243753211,64.05909242065461,24.130526772036
17,17,2007,142805114,2007-12-31,36108.5374876169,108440.49325638,154670.41459658,667.402457291848,9395.92004897152,28.181725719833,29.879620599804
18,18,2008,142742366,2008-12-31,35183.2103815543,105534.57949688699,149918.09852096802,948.8328995241301,8199.801812789301,17.8684562914585,33.805473921336
19,19,2009,142785349,2009-12-31,33462.133500666,86024.13623389139,128031.30213517901,926.381660501528,7563.46610400381,8.156903999999999,47.027732115792
20,20,2010,142849468,2010-12-31,31036.705038198703,84289.7215619474,124173.343259354,984.4066145483,7792.69044692087,9.132186,60.68741173914
21,21,2011,142960908,2011-12-31,30198.999396646603,89518.24584286641,129010.353277972,1094.05410558517,8138.51396199966,12.7156,47.824370874168
22,22,2012,143201721,2012-12-31,30694.098760415,86255.6930244359,125638.734500825,1199.19539228247,7431.571186067829,7.4276,50.748537624132005
23,23,2013,143506995,2013-12-31,30158.616685878398,76875.89360764269,116001.00183522,1300.30742201206,7602.82814912792,6.149,57.206970559308004
24,24,2014,143819666,2014-12-31,30026.6849287365,77432.4172893916,116214.833235329,1374.93038360901,7322.67986085253,6.3449,51.775872739236
25,25,2015,144096870,2015-12-31,29544.309712477596,77725.6298778275,116418.661623165,1639.2842120652401,7450.6643820420995,6.5666,52.206838752828
26,26,2016,144342396,2016-12-31,29011.7996630305,75812.8017938512,114287.85063346599,1895.4058207856199,7512.6018279091,5.442220147839941,49.799307742164004
27,27,2017,144496740,2017-12-31,28706.5411582317,78077.4897274096,116875.46812705901,2179.08579465174,7852.58316027756,5.58080398743762,54.187482500951994
28,28,2018,144477860,2018-12-31,28183.6263406729,76951.2189688293,116115.11501287199,2295.10877695675,8618.20808596367,4.97031066164183,61.982529787644
29,29,2019,144373535,,,,,,,,
