,Unnamed: 0,Year,Turkey,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,53921760,1990-12-31,6044.11666459651,44154.42094808481,53778.8971016929,0.02478119072,3326.81320982872,116.515249727925,137.0062482642
1,1,1991,54840590,1991-12-31,5973.0425614019105,46133.821039985,55658.4883217239,1.5087434817018102,3312.40457662425,98.50510304870751,139.20629718228
2,2,1992,55748948,1992-12-31,5890.16893355638,46009.7044340782,55396.1356109641,15.5519427612223,3258.7104825011497,80.6072758529311,141.39254221428
3,3,1993,56653804,1993-12-31,5780.84515008,43601.0231205789,52921.287979927,32.538013978365,3351.65184698819,34.6950069064982,120.534841395048
4,4,1994,57564204,1994-12-31,5729.91851791902,42675.8941129142,51914.232099919805,80.1656299637883,3300.5032352027897,20.863929738339998,106.886674181628
5,5,1995,58486456,1995-12-31,5729.317252020239,43412.8303104671,52829.745323258496,243.757181413437,3333.1242009905604,17.4821227234244,93.234255643728
6,6,1996,59423282,1996-12-31,5668.3132728964,44098.8196665512,53432.351552255706,295.94268611022005,3258.79656024284,20.407171766107602,90.072194688984
7,7,1997,60372568,1997-12-31,5519.4776194653,43037.266660975496,52303.06564804,360.31173705072604,3240.38659116902,20.9618428351576,124.66119654424801
8,8,1998,61329676,1998-12-31,5448.39676350512,44614.821367455996,53869.0418356946,456.05684004657996,3173.3749348447495,23.573290756996602,152.81863908516002
9,9,1999,62287397,1999-12-31,5362.2310127973105,44445.8409485479,53658.4649415397,533.349499809722,3144.7902199533196,32.133290617042,140.11996981444798
10,10,2000,63240194,2000-12-31,5306.61412106198,43617.5914255673,53080.696615234105,635.9590146181109,3307.4914704345697,60.921894262208994,152.118689289984
11,11,2001,64192243,2001-12-31,5347.71829465895,45082.445988298605,54601.1167844582,735.875458068719,3247.33628945909,36.7163145126723,151.02443946013202
12,12,2002,65145367,2002-12-31,5303.13867227112,43467.596162515,53068.3826327918,826.5778423456709,3274.35900167159,35.855371309130796,160.855582679328
13,13,2003,66089402,2003-12-31,5222.94714744178,44651.9069911309,54095.7803444325,910.3124464839011,3077.7871478675797,66.7918179859402,166.034793522396
14,14,2004,67010930,2004-12-31,5188.629326409579,45236.399426872405,54698.0839979879,1009.6173034595402,3004.8464895012603,68.9313250904057,189.66012665464802
15,15,2005,67903469,2005-12-31,5203.77434026851,45788.234963650895,55414.4149669834,1047.96437354054,3116.8700393002,50.2539719313493,207.317278291944
16,16,2006,68756810,2006-12-31,5220.2570251347,45373.6830770009,55022.3962805621,1159.5857622512199,3009.66495616133,62.2703114685642,196.93514854542
17,17,2007,69581848,2007-12-31,5202.424944157739,43368.3664038924,53159.3401368222,1252.74923194295,3105.13661192123,52.3956625819756,178.26728232589198
18,18,2008,70418604,2008-12-31,5272.98940440767,44714.3099715288,54524.8294921698,1274.66431771433,2979.0615183738,44.63318762835571,239.047752520848
19,19,2009,71321399,2009-12-31,5180.89206516704,43534.7155398996,53082.113926327096,1272.0573743269902,2868.5523427877697,35.3749339694422,182.874047076204
20,20,2010,72326988,2010-12-31,5154.2736822446,45049.551577893304,54726.721204130496,1308.24993521354,3012.8606929200396,37.7956924822802,151.309692216828
21,21,2011,73443863,2011-12-31,5099.1448071821205,40985.5235473301,50615.8321260689,1380.0535866569599,2941.7856656520803,36.0616354139869,163.935409833708
22,22,2012,74653016,2012-12-31,5070.7747738083,42254.722400681,52037.4156953803,1453.07071234832,3001.27731057039,38.786973495240396,218.24108205695998
23,23,2013,75928564,2013-12-31,5006.729969128321,43185.8372780625,52816.491707204405,1432.16070647779,2901.26654139889,27.750483261884103,262.604552815056
24,24,2014,77231907,2014-12-31,5003.62120444444,39234.4328189085,48877.389945532195,1468.9507987104098,2881.23361274164,22.545296091205802,266.000834405976
25,25,2015,78529409,2015-12-31,4974.08886834194,38733.1931159201,48412.4992313201,1507.5173835182002,2910.24232318132,25.548311915493898,261.178878173088
26,26,2016,79821724,2016-12-31,4930.18894661626,39192.6094780623,48725.3116233396,1480.4558230115,2888.9987752987104,19.522854350037502,212.76781416081602
27,27,2017,81101892,2017-12-31,4868.48522402396,38182.2650262948,47873.184779084004,1504.2532927677698,3082.52391368377,31.9997110135878,202.85404488709202
28,28,2018,82319724,2018-12-31,4839.9857352932795,36895.484834831295,46332.507227339695,1524.04966346525,2879.64599714282,35.6393203022792,157.199079404736
29,29,2019,83429615,,,,,,,,
