,Year,Australia
0,1990,17065100
1,1991,17284000
2,1992,17495000
3,1993,17667000
4,1994,17855000
5,1995,18072000
6,1996,18311000
7,1997,18517000
8,1998,18711000
9,1999,18926000
10,2000,19153000
11,2001,19413000
12,2002,19651400
13,2003,19895400
14,2004,20127400
15,2005,20394800
16,2006,20697900
17,2007,20827600
18,2008,21249200
19,2009,21691700
20,2010,22031750
21,2011,22340024
22,2012,22733465
23,2013,23128129
24,2014,23475686
25,2015,23815995
26,2016,24190907
27,2017,24601860
28,2018,24982688
29,2019,25364307
