,Year,Japan
0,1990,123537000
1,1991,123921000
2,1992,124229000
3,1993,124536000
4,1994,124961000
5,1995,125439000
6,1996,125757000
7,1997,126057000
8,1998,126400000
9,1999,126631000
10,2000,126843000
11,2001,127149000
12,2002,127445000
13,2003,127718000
14,2004,127761000
15,2005,127773000
16,2006,127854000
17,2007,128001000
18,2008,128063000
19,2009,128047000
20,2010,128070000
21,2011,127833000
22,2012,127629000
23,2013,127445000
24,2014,127276000
25,2015,127141000
26,2016,126994511
27,2017,126785797
28,2018,126529100
29,2019,126264931
