,Year,Turkey
0,1990,53921760
1,1991,54840590
2,1992,55748948
3,1993,56653804
4,1994,57564204
5,1995,58486456
6,1996,59423282
7,1997,60372568
8,1998,61329676
9,1999,62287397
10,2000,63240194
11,2001,64192243
12,2002,65145367
13,2003,66089402
14,2004,67010930
15,2005,67903469
16,2006,68756810
17,2007,69581848
18,2008,70418604
19,2009,71321399
20,2010,72326988
21,2011,73443863
22,2012,74653016
23,2013,75928564
24,2014,77231907
25,2015,78529409
26,2016,79821724
27,2017,81101892
28,2018,82319724
29,2019,83429615
