,Year,United Kingdom
0,1990,57247586
1,1991,57424897
2,1992,57580402
3,1993,57718614
4,1994,57865745
5,1995,58019030
6,1996,58166950
7,1997,58316954
8,1998,58487141
9,1999,58682466
10,2000,58892514
11,2001,59119673
12,2002,59370479
13,2003,59647577
14,2004,59987905
15,2005,60401206
16,2006,60846820
17,2007,61322463
18,2008,61806995
19,2009,62276270
20,2010,62766365
21,2011,63258810
22,2012,63700215
23,2013,64128273
24,2014,64602298
25,2015,65116219
26,2016,65611593
27,2017,66058859
28,2018,66460344
29,2019,66834405
