,Unnamed: 0,Year,United Kingdom,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,57247586,1990-12-31,182572.681059447,705829.991803785,942072.4608627509,,53433.960744320895,235.81962339833302,0.0076317990839999995
1,1,1991,57424897,1991-12-31,174694.184798038,632536.626065897,855689.206454451,,48270.1773785019,188.199132516456,0.019079497823999998
2,2,1992,57580402,1992-12-31,166761.386958694,589060.250850739,800682.920180701,,44718.9007009591,142.351143112439,0.030527196564000002
3,3,1993,57718614,1993-12-31,158319.089194345,510199.53725508705,710580.8916503009,,41918.6398819659,143.566172459793,0.059146443528000005
4,4,1994,57865745,1994-12-31,148884.23495326302,419266.30073946295,604307.6862888361,,35995.8638831006,161.221842716612,0.064870292784
5,5,1995,58019030,1995-12-31,138648.79465683698,389864.61480804,561511.109740117,,32819.5727407033,178.059802319156,0.06773221764
6,6,1996,58166950,1996-12-31,134676.047245303,351408.75280653697,514681.246987495,,28453.134431090497,143.242864396173,0.069640167468
7,7,1997,58316954,1997-12-31,129383.497099843,340242.686212178,498995.256417362,6.430905,29215.521411342997,146.992956362048,0.12783263596799999
8,8,1998,58487141,1998-12-31,125666.462187011,328578.93752301,480322.326822351,13.019347557352901,25943.070489858397,120.643618011429,0.19365690377999997
9,9,1999,58682466,1999-12-31,126924.23569138,298203.960313902,449025.436898311,14.1424997308824,23780.9801215174,101.811091863657,0.30717991638000003
10,10,2000,58892514,2000-12-31,117952.871223251,285337.201300114,427203.05276381,15.7315887340818,23781.090492840296,115.73764673705799,0.420512133792
11,11,2001,59119673,2001-12-31,116501.74334232,303559.22946530697,445295.315697051,29.0180001254357,25092.7818666867,112.079867800228,0.46315481168399997
12,12,2002,59370479,2002-12-31,109053.06633196199,295673.490491261,430433.286109588,64.2410527234231,25542.7635244769,98.6552079088838,1.069501255212
13,13,2003,59647577,2003-12-31,109680.48755560699,307017.471704689,439724.290228893,105.178736101076,22842.0084344237,77.1525662727273,1.991231799084
14,14,2004,59987905,2004-12-31,106529.281006463,310362.748297374,442498.56900673604,187.230955976698,25322.8943415261,93.3364053955353,3.0780000000000003
15,15,2005,60401206,2005-12-31,102445.90419580301,313118.087899896,441635.072724209,285.055803811308,25639.2256914269,142.332050427335,4.4670828451319995
16,16,2006,60846820,2006-12-31,100088.11782138301,332670.337203369,459266.97217394604,402.250321116262,25990.8338436681,111.15898608366999,4.27399832646
17,17,2007,61322463,2007-12-31,99906.872399581,336364.01352395304,462601.908247251,561.096689048497,25610.0157408144,154.71168464917102,5.19820920504
18,18,2008,61806995,2008-12-31,93232.2407699502,325532.712918485,450384.561367581,647.210734163348,30788.8184039384,174.240462383537,9.338078661168
19,19,2009,62276270,2009-12-31,85161.5540028681,277293.500642892,389970.18011467,663.737536834602,26788.0727897416,53.9494937986483,9.365648535624
20,20,2010,62766365,2010-12-31,84567.7829397665,294078.32249715104,406799.08836713794,743.8338949522549,27372.771694677,26.667307118884896,9.710033472852
21,21,2011,63258810,2011-12-31,86010.1957930301,307952.84142234,428125.579737834,819.9723971831739,33334.1560667035,,8.41405857732
22,22,2012,63700215,2012-12-31,80482.43554604679,303952.606071527,417169.507104465,840.734597301637,31882.741289589903,,10.9896
23,23,2013,64128273,2013-12-31,75185.4511104299,297294.252816873,408768.44665244897,881.216653019987,35394.9829497684,,12.543122357628
24,24,2014,64602298,2014-12-31,68759.026014524,257584.689348606,362502.50110708794,847.824969166252,35294.2351091364,,16.725665655144
25,25,2015,65116219,2015-12-31,61235.8878797913,223911.868540142,318938.90906105,775.287558967009,32996.223010459704,,19.64207168958
26,26,2016,65611593,2016-12-31,65994.0086270451,234200.301807805,337397.308843245,887.300228378847,36291.3858385263,,24.312341490108
27,27,2017,66058859,2017-12-31,63653.696087053606,223232.15113356602,322778.652178406,1009.4843121009801,34854.8593179681,,28.4613277173
28,28,2018,66460344,2018-12-31,67519.9271405532,231694.16473171802,339244.284780777,1349.25761687292,38647.644358146405,,33.290933485848
29,29,2019,66834405,,,,,,,,
