Country_Code,Country_Name,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Australia,Australia,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031800,22340000,22733500,23128100,23475700,23816000,24190900,24601900,24982700,25364300
2,Canada,Canada,27691100,28037400,28371300,28684800,29000700,29302300,29610200,29905900,30155200,30401300,30685700,31020900,31360100,31644000,31940700,32243800,32571200,32889000,33247100,33628900,34004900,34339300,34714200,35083000,35437400,35702900,36109500,36543300,37057800,37589300
3,"Great Britain","United Kingdom",57247600,57424900,57580400,57718600,57865700,58019000,58167000,58317000,58487100,58682500,58892500,59119700,59370500,59647600,59987900,60401200,60846800,61322500,61807000,62276300,62766400,63258800,63700200,64128300,64602300,65116200,65611600,66058900,66460300,66834400
4,Japan,Japan,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126995000,126786000,126529000,126265000
5,"New Zealand","New Zealand",3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4841000,4917000
6,Russia,"Russian Federation",147969000,148394000,148538000,148459000,148408000,148376000,148160000,147915000,147671000,147215000,146597000,145976000,145306000,144649000,144067000,143519000,143050000,142805000,142742000,142785000,142849000,142961000,143202000,143507000,143820000,144097000,144342000,144497000,144478000,144374000
7,Spain,Spain,38867300,38966400,39157700,39361300,39549100,39724000,39889900,40057400,40223500,40386900,40567900,40850400,41431600,42187600,42921900,43653200,44397300,45226800,45954100,46362900,46576900,46742700,46773100,46620000,46480900,46444800,46484100,46593200,46797800,47076800
8,Switzerland,Switzerland,6715520,6799980,6875360,6938260,6993800,7040690,7071850,7088910,7110000,7143990,7184250,7229850,7284750,7339000,7389620,7437120,7483930,7551120,7647680,7743830,7824910,7912400,7996860,8089350,8188650,8282400,8373340,8451840,8514330,8574830
9,Turkey,Turkey,53921800,54840600,55748900,56653800,57564200,58486500,59423300,60372600,61329700,62287400,63240200,64192200,65145400,66089400,67010900,67903500,68756800,69581800,70418600,71321400,72327000,73443900,74653000,75928600,77231900,78529400,79821700,81101900,82319700,83429600
10,"United States","United States",249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162000,284969000,287625000,290108000,292805000,295517000,298380000,301231000,304094000,306772000,309322000,311557000,313831000,315994000,318301000,320635000,322941000,324986000,326687000,328240000
